	transactions	input_value	output_value	fee	day	month	year
0	7	17900000000.000000000	17900000000.000000000	0E-9	12	1	2009
1	3	6100000000.000000000	6100000000.000000000	0E-9	14	1	2009
2	15	50000000000.000000000	50000000000.000000000	0E-9	15	1	2009
3	4	20000000000.000000000	20000000000.000000000	0E-9	16	1	2009
4	3	15000000000.000000000	15000000000.000000000	0E-9	18	1	2009
5	16	77500000000.000000000	77500000000.000000000	0E-9	19	1	2009
6	8	40000000000.000000000	40000000000.000000000	0E-9	20	1	2009
7	2	10000000000.000000000	10000000000.000000000	0E-9	21	1	2009
8	10	50000000000.000000000	50000000000.000000000	0E-9	22	1	2009
9	9	45000000000.000000000	45000000000.000000000	0E-9	23	1	2009
10	10	50000000000.000000000	50000000000.000000000	0E-9	24	1	2009
11	1	5000000000.000000000	5000000000.000000000	0E-9	25	1	2009
12	20	100000000000.000000000	100000000000.000000000	0E-9	26	1	2009
13	3	15000000000.000000000	15000000000.000000000	0E-9	27	1	2009
14	12	60000000000.000000000	60000000000.000000000	0E-9	29	1	2009
15	20	100000000000.000000000	100000000000.000000000	0E-9	31	1	2009
16	2	10000000000.000000000	10000000000.000000000	0E-9	1	2	2009
17	1	5000000000.000000000	5000000000.000000000	0E-9	2	2	2009
18	18	73652000000.000000000	73652000000.000000000	302000000.000000000	3	2	2009
19	24	119800000000.000000000	119800000000.000000000	0E-9	7	2	2009
20	1	100000000000.000000000	100000000000.000000000	0E-9	8	2	2009
21	44	220000000000.000000000	220000000000.000000000	0E-9	9	2	2009
22	14	55004000000.000000000	55004000000.000000000	0E-9	11	2	2009
23	13	90000000000.000000000	90000000000.000000000	0E-9	15	2	2009
24	30	150000000000.000000000	150000000000.000000000	0E-9	16	2	2009
25	16	80000000000.000000000	80000000000.000000000	0E-9	19	2	2009
26	11	105000000000.000000000	105000000000.000000000	0E-9	22	2	2009
27	36	180000000000.000000000	180000000000.000000000	0E-9	27	2	2009
28	7	35000000000.000000000	35000000000.000000000	0E-9	28	2	2009
29	8	40000000000.000000000	40000000000.000000000	0E-9	3	3	2009
30	25	125000000000.000000000	125000000000.000000000	0E-9	4	3	2009
31	8	40000000000.000000000	40000000000.000000000	0E-9	5	3	2009
32	26	155000000000.000000000	155000000000.000000000	0E-9	8	3	2009
33	3	15000000000.000000000	15000000000.000000000	0E-9	12	3	2009
34	13	75000000000.000000000	75000000000.000000000	0E-9	13	3	2009
35	48	240000000000.000000000	240000000000.000000000	0E-9	16	3	2009
36	14	70000000000.000000000	70000000000.000000000	0E-9	18	3	2009
37	12	60000000000.000000000	60000000000.000000000	0E-9	20	3	2009
38	11	55000000000.000000000	55000000000.000000000	0E-9	22	3	2009
39	28	140000000000.000000000	140000000000.000000000	0E-9	26	3	2009
40	20	100000000000.000000000	100000000000.000000000	0E-9	28	3	2009
41	32	160000000000.000000000	160000000000.000000000	0E-9	31	3	2009
42	17	85000000000.000000000	85000000000.000000000	0E-9	5	4	2009
43	7	35000000000.000000000	35000000000.000000000	0E-9	11	4	2009
44	8	95000000000.000000000	95000000000.000000000	0E-9	12	4	2009
45	1	5000000000.000000000	5000000000.000000000	0E-9	13	4	2009
46	4	18251000000.000000000	18251000000.000000000	0E-9	18	4	2009
47	8	40000000000.000000000	40000000000.000000000	0E-9	19	4	2009
48	115	575000000000.000000000	575000000000.000000000	0E-9	20	4	2009
49	1	5000000000.000000000	5000000000.000000000	0E-9	21	4	2009
50	15	75000000000.000000000	75000000000.000000000	0E-9	26	4	2009
51	20	100000000000.000000000	100000000000.000000000	0E-9	29	4	2009
52	15	74994000000.000000000	74994000000.000000000	3000000.000000000	2	5	2009
53	4	11000000000.000000000	11000000000.000000000	0E-9	3	5	2009
54	30	150000000000.000000000	150000000000.000000000	0E-9	4	5	2009
55	10	50000000000.000000000	50000000000.000000000	0E-9	5	5	2009
56	2	10000000000.000000000	10000000000.000000000	20000000.000000000	11	5	2009
57	5	15001000000.000000000	15001000000.000000000	0E-9	13	5	2009
58	4	19999000000.000000000	19999000000.000000000	0E-9	14	5	2009
59	10	50000000000.000000000	50000000000.000000000	0E-9	15	5	2009
60	60	300000000000.000000000	300000000000.000000000	0E-9	29	5	2009
61	1	5000000000.000000000	5000000000.000000000	0E-9	1	6	2009
62	60	300000000000.000000000	300000000000.000000000	0E-9	22	6	2009
63	3	14898000000.000000000	14898000000.000000000	0E-9	24	6	2009
64	20	100000000000.000000000	100000000000.000000000	0E-9	25	6	2009
65	1	5000000000.000000000	5000000000.000000000	0E-9	28	6	2009
66	1	5000000000.000000000	5000000000.000000000	0E-9	29	6	2009
67	3	9500000000.000000000	9500000000.000000000	0E-9	30	6	2009
68	2	10000000000.000000000	10000000000.000000000	0E-9	1	7	2009
69	1	5000000000.000000000	5000000000.000000000	0E-9	2	7	2009
70	121	604967000000.000000000	604967000000.000000000	1694000000.000000000	20	7	2009
71	2	10000000000.000000000	10000000000.000000000	0E-9	29	7	2009
72	1	5000000000.000000000	5000000000.000000000	0E-9	30	7	2009
73	111	554953000000.000000000	554953000000.000000000	1443000000.000000000	7	8	2009
